Joint2 X:0.117751, Y:0.013296, Z:1.338829
Joint3 X:0.253279, Y:0.111919, Z:1.275338
Joint4 X:-0.050117, Y:-0.016267, Z:1.322598
Joint5 X:-0.300861, Y:-0.112971, Z:1.348396
Joint6 X:-0.479031, Y:-0.269065, Z:1.313100
Joint7 X:-0.534190, Y:-0.322378, Z:1.295724
Joint8 X:0.204325, Y:-0.199717, Z:1.390756
Joint9 X:0.203366, Y:-0.434172, Z:1.421953
Joint10 X:0.231023, Y:-0.667229, Z:1.379884
Joint11 X:0.256265, Y:-0.732093, Z:1.356546
Joint12 X:-0.150735, Y:-0.518574, Z:1.392566
Joint13 X:0.196377, Y:-0.656454, Z:1.238917
Joint14 X:0.698062, Y:-0.871056, Z:1.051967
Joint15 X:0.723741, Y:-0.877671, Z:0.921652
Joint16 X:-0.001100, Y:-0.584936, Z:1.428246
Joint17 X:0.357171, Y:-0.725433, Z:1.357071
Joint18 X:0.878881, Y:-0.946639, Z:1.293961
Joint19 X:0.910925, Y:-0.958172, Z:1.165971
Joint20 X:0.094614, Y:-0.057488, Z:1.356573
Joint21 X:-0.572006, Y:-0.372787, Z:1.285124
Joint22 X:-0.496425, Y:-0.321197, Z:1.290750
Joint23 X:0.272574, Y:-0.772072, Z:1.366019
Joint24 X:0.315733, Y:-0.727256, Z:1.340122
Joint0 X:-0.031529, Y:-0.540880, Z:1.445185
Joint1 X:0.026214, Y:-0.242692, Z:1.399676
Joint2 X:0.080023, Y:0.058385, Z:1.337955
Joint3 X:0.173723, Y:0.200963, Z:1.278880
Joint4 X:-0.061702, Y:-0.008337, Z:1.329315
Joint5 X:-0.246034, Y:-0.229553, Z:1.370795
Joint6 X:-0.301771, Y:-0.461460, Z:1.334043
Joint7 X:-0.315518, Y:-0.514865, Z:1.320053
Joint8 X:0.223585, Y:-0.094183, Z:1.388574
Joint9 X:0.218673, Y:-0.334282, Z:1.394644
Joint10 X:0.233929, Y:-0.569586, Z:1.353700
Joint11 X:0.223360, Y:-0.638647, Z:1.317328
Joint12 X:-0.111000, Y:-0.505621, Z:1.401851
Joint13 X:0.246479, Y:-0.755391, Z:1.227844
Joint14 X:0.628447, Y:-1.032779, Z:1.066199
Joint15 X:0.659078, Y:-1.043313, Z:0.934836
Joint16 X:0.049762, Y:-0.551396, Z:1.423480
Joint17 X:0.403892, Y:-0.755362, Z:1.187935
Joint18 X:0.785437, Y:-0.984089, Z:0.959153
Joint19 X:0.810133, Y:-0.990441, Z:0.827445
Joint20 X:0.068556, Y:-0.016285, Z:1.355862
Joint21 X:-0.320646, Y:-0.565671, Z:1.308447
Joint22 X:-0.284027, Y:-0.492008, Z:1.315167
Joint23 X:0.230449, Y:-0.706953, Z:1.295405
Joint24 X:0.259041, Y:-0.621248, Z:1.346500
Joint0 X:0.078807, Y:-0.504410, Z:1.376501
Joint1 X:0.068932, Y:-0.202893, Z:1.375469
Joint2 X:0.066963, Y:0.085719, Z:1.348854
Joint3 X:0.097542, Y:0.242983, Z:1.287334
Joint4 X:-0.091150, Y:0.002865, Z:1.372460
Joint5 X:-0.136532, Y:-0.284282, Z:1.400320
Joint6 X:-0.144633, Y:-0.519627, Z:1.352936
Joint7 X:-0.128456, Y:-0.568367, Z:1.343846
Joint8 X:0.243996, Y:-0.018750, Z:1.363605
Joint9 X:0.302024, Y:-0.284766, Z:1.374350
Joint10 X:0.352801, Y:-0.509850, Z:1.305420
Joint11 X:0.364573, Y:-0.577491, Z:1.277353
Joint12 X:-0.003557, Y:-0.493279, Z:1.342678
