Joint24 X:0.240377, Y:-0.283879, Z:1.768561
Joint0 X:0.013217, Y:-0.454949, Z:1.387341
Joint1 X:0.005146, Y:-0.111363, Z:1.445333
Joint2 X:-0.002530, Y:0.218006, Z:1.485920
Joint3 X:-0.009318, Y:0.367217, Z:1.519293
Joint4 X:-0.171869, Y:0.034611, Z:1.452664
Joint5 X:-0.318629, Y:-0.166907, Z:1.545867
Joint6 X:-0.277088, Y:-0.265001, Z:1.740288
Joint7 X:-0.264046, Y:-0.298046, Z:1.808752
Joint8 X:0.188171, Y:0.041282, Z:1.447367
Joint9 X:0.364425, Y:-0.139793, Z:1.543686
Joint10 X:0.270111, Y:-0.248415, Z:1.715791
Joint11 X:0.239604, Y:-0.284897, Z:1.776774
Joint12 X:-0.075858, Y:-0.446881, Z:1.358397
Joint13 X:-0.042341, Y:-0.889928, Z:1.332666
Joint14 X:-0.019361, Y:-1.212528, Z:1.331911
Joint15 X:-0.015651, Y:-1.243810, Z:1.193294
Joint16 X:0.101688, Y:-0.441480, Z:1.350632
Joint17 X:0.120096, Y:-0.883939, Z:1.342878
Joint18 X:0.134610, Y:-1.206168, Z:1.355301
Joint19 X:0.133985, Y:-1.242906, Z:1.219027
Joint20 X:-0.000660, Y:0.137590, Z:1.478187
Joint21 X:-0.265565, Y:-0.294358, Z:1.801835
Joint22 X:-0.257231, Y:-0.310230, Z:1.789481
Joint23 X:0.240948, Y:-0.286444, Z:1.780334
Joint24 X:0.240377, Y:-0.283914, Z:1.768560
Joint0 X:0.013158, Y:-0.455019, Z:1.387426
Joint1 X:0.005171, Y:-0.111411, Z:1.445338
Joint2 X:-0.002421, Y:0.217910, Z:1.485879
Joint3 X:-0.009174, Y:0.367132, Z:1.519366
Joint4 X:-0.171863, Y:0.034610, Z:1.452681
Joint5 X:-0.318984, Y:-0.166578, Z:1.545860
Joint6 X:-0.278006, Y:-0.265923, Z:1.739782
Joint7 X:-0.265153, Y:-0.299382, Z:1.808079
Joint8 X:0.188189, Y:0.041282, Z:1.447362
Joint9 X:0.364435, Y:-0.139872, Z:1.543635
Joint10 X:0.270123, Y:-0.248491, Z:1.715735
Joint11 X:0.239617, Y:-0.284971, Z:1.776716
