Joint11 X:0.202433, Y:-0.440947, Z:1.358809
Joint12 X:-0.085613, Y:-0.512550, Z:1.326784
Joint13 X:-0.040353, Y:-0.826251, Z:1.148233
Joint14 X:-0.000349, Y:-1.121652, Z:1.006638
Joint15 X:0.003886, Y:-1.111223, Z:0.878352
Joint16 X:0.085906, Y:-0.509162, Z:1.322408
Joint17 X:0.027990, Y:-0.818695, Z:1.138373
Joint18 X:-0.023591, Y:-1.110179, Z:0.991593
Joint19 X:-0.029388, Y:-1.098613, Z:0.863326
Joint20 X:-0.008673, Y:0.015641, Z:1.426593
Joint21 X:-0.206550, Y:-0.526625, Z:1.412886
Joint22 X:-0.184775, Y:-0.481975, Z:1.383313
Joint23 X:0.197884, Y:-0.510192, Z:1.321724
Joint24 X:0.210915, Y:-0.489610, Z:1.357755
Joint0 X:0.000039, Y:-0.523636, Z:1.357816
Joint1 X:-0.005051, Y:-0.211347, Z:1.403247
Joint2 X:-0.009737, Y:0.089892, Z:1.431309
Joint3 X:-0.018500, Y:0.212321, Z:1.456297
Joint4 X:-0.203828, Y:-0.055043, Z:1.426998
Joint5 X:-0.323934, Y:-0.272056, Z:1.437216
Joint6 X:-0.215689, Y:-0.445553, Z:1.441738
Joint7 X:-0.199884, Y:-0.476443, Z:1.425364
Joint8 X:0.179317, Y:-0.047848, Z:1.424356
Joint9 X:0.334545, Y:-0.253316, Z:1.461034
Joint10 X:0.230362, Y:-0.421765, Z:1.395740
Joint11 X:0.193880, Y:-0.444027, Z:1.344241
Joint12 X:-0.085799, Y:-0.512767, Z:1.327308
Joint13 X:-0.001438, Y:-0.809856, Z:1.129016
Joint14 X:0.074445, Y:-1.090100, Z:0.968622
Joint15 X:0.079999, Y:-1.075866, Z:0.840258
Joint16 X:0.085844, Y:-0.508935, Z:1.322325
Joint17 X:0.025478, Y:-0.818162, Z:1.138140
Joint18 X:-0.028383, Y:-1.109559, Z:0.991122
Joint19 X:-0.034938, Y:-1.097889, Z:0.862966
Joint20 X:-0.008604, Y:0.016173, Z:1.426887
Joint21 X:-0.200942, Y:-0.526909, Z:1.400995
