Joint22 X:-0.186509, Y:-0.402989, Z:1.425764
Joint23 X:0.217891, Y:-0.347335, Z:1.459441
Joint24 X:0.223619, Y:-0.341285, Z:1.445333
Joint0 X:0.025452, Y:-0.402409, Z:1.458621
Joint1 X:0.009014, Y:-0.114557, Z:1.466273
Joint2 X:-0.006386, Y:0.163124, Z:1.459245
Joint3 X:-0.010305, Y:0.276260, Z:1.459332
Joint4 X:-0.182540, Y:0.019983, Z:1.474667
Joint5 X:-0.308901, Y:-0.177756, Z:1.501085
Joint6 X:-0.221239, Y:-0.366645, Z:1.472791
Joint7 X:-0.184840, Y:-0.400041, Z:1.451102
Joint8 X:0.198976, Y:0.081017, Z:1.525946
Joint9 X:0.302164, Y:-0.156481, Z:1.537302
Joint10 X:0.276231, Y:-0.359704, Z:1.488660
Joint11 X:0.221319, Y:-0.391420, Z:1.421363
Joint12 X:-0.062242, Y:-0.397947, Z:1.422506
Joint13 X:-0.081186, Y:-0.790614, Z:1.345142
Joint14 X:-0.099289, Y:-1.151674, Z:1.297892
Joint15 X:-0.088083, Y:-1.169921, Z:1.169789
Joint16 X:0.112311, Y:-0.388753, Z:1.429832
Joint17 X:0.121648, Y:-0.780600, Z:1.338322
Joint18 X:0.131835, Y:-1.140699, Z:1.277933
Joint19 X:0.142670, Y:-1.156130, Z:1.149336
Joint20 X:-0.002604, Y:0.095135, Z:1.463348
Joint21 X:-0.176562, Y:-0.486598, Z:1.428997
Joint22 X:-0.174131, Y:-0.397365, Z:1.409294
Joint23 X:0.194816, Y:-0.450872, Z:1.390706
Joint24 X:0.237237, Y:-0.383899, Z:1.378507
Joint0 X:0.026674, Y:-0.402325, Z:1.460297
Joint1 X:0.009490, Y:-0.114339, Z:1.466665
Joint2 X:-0.006334, Y:0.163324, Z:1.459068
Joint3 X:-0.010367, Y:0.276468, Z:1.460120
Joint4 X:-0.182494, Y:0.020216, Z:1.474602
Joint5 X:-0.308938, Y:-0.177394, Z:1.501436
Joint6 X:-0.221126, Y:-0.366362, Z:1.474233
Joint7 X:-0.185168, Y:-0.401849, Z:1.451683
Joint8 X:0.199022, Y:0.081443, Z:1.526495
Joint9 X:0.299394, Y:-0.158527, Z:1.537356
Joint10 X:0.267294, Y:-0.362294, Z:1.496748
Joint11 X:0.221881, Y:-0.383736, Z:1.430944
Joint12 X:-0.061120, Y:-0.398007, Z:1.423858
Joint13 X:-0.082041, Y:-0.790442, Z:1.345007
Joint14 X:-0.101910, Y:-1.151287, Z:1.296378
Joint15 X:-0.090684, Y:-1.169437, Z:1.168252
Joint16 X:0.113427, Y:-0.388676, Z:1.432029
Joint17 X:0.120327, Y:-0.780228, Z:1.337567
Joint18 X:0.128322, Y:-1.140046, Z:1.274436
Joint19 X:0.139101, Y:-1.155185, Z:1.145754
Joint20 X:-0.002504, Y:0.095317, Z:1.463281
Joint21 X:-0.176750, Y:-0.466896, Z:1.429875
Joint22 X:-0.174320, Y:-0.404615, Z:1.406359
Joint23 X:0.198127, Y:-0.454560, Z:1.394586
Joint24 X:0.235839, Y:-0.371684, Z:1.375138
Joint0 X:0.026866, Y:-0.402732, Z:1.462374
Joint1 X:0.009512, Y:-0.114374, Z:1.467273
Joint2 X:-0.006554, Y:0.163474, Z:1.458790
Joint3 X:-0.013196, Y:0.277160, Z:1.459847
Joint4 X:-0.182804, Y:0.019867, Z:1.474883
Joint5 X:-0.308332, Y:-0.178835, Z:1.502080
Joint6 X:-0.223189, Y:-0.368840, Z:1.472746
Joint7 X:-0.188763, Y:-0.405715, Z:1.452824
Joint8 X:0.197826, Y:0.080384, Z:1.523729
