Joint6 X:-0.244720, Y:-0.346415, Z:1.511128
Joint7 X:-0.180953, Y:-0.378902, Z:1.487846
Joint8 X:0.185769, Y:0.038202, Z:1.456244
Joint9 X:0.352870, Y:-0.145537, Z:1.518140
Joint10 X:0.251107, Y:-0.324919, Z:1.467030
Joint11 X:0.205721, Y:-0.341517, Z:1.406994
Joint12 X:-0.070268, Y:-0.458608, Z:1.400713
Joint13 X:-0.037674, Y:-0.886590, Z:1.366769
Joint14 X:-0.004290, Y:-1.359292, Z:1.365017
Joint15 X:-0.006440, Y:-1.384517, Z:1.228194
Joint16 X:0.094857, Y:-0.452431, Z:1.388133
Joint17 X:0.103883, Y:-0.881096, Z:1.360367
Joint18 X:0.116004, Y:-1.354452, Z:1.365492
Joint19 X:0.108569, Y:-1.381154, Z:1.229422
Joint20 X:0.007800, Y:0.113329, Z:1.480651
Joint21 X:-0.196194, Y:-0.467701, Z:1.462193
Joint22 X:-0.262512, Y:-0.357578, Z:1.555397
Joint23 X:0.196493, Y:-0.426108, Z:1.365449
Joint24 X:0.175836, Y:-0.309628, Z:1.357497
Joint0 X:0.012521, Y:-0.467702, Z:1.431239
Joint1 X:0.009816, Y:-0.130592, Z:1.466074
Joint2 X:0.007146, Y:0.191677, Z:1.482028
Joint3 X:-0.000717, Y:0.317780, Z:1.510376
Joint4 X:-0.172880, Y:0.029140, Z:1.477615
Joint5 X:-0.310305, Y:-0.149195, Z:1.501878
Joint6 X:-0.245174, Y:-0.346573, Z:1.510896
Joint7 X:-0.182709, Y:-0.382048, Z:1.488665
Joint8 X:0.185781, Y:0.038106, Z:1.456247
Joint9 X:0.352933, Y:-0.145479, Z:1.518236
Joint10 X:0.252087, Y:-0.325176, Z:1.466722
Joint11 X:0.205326, Y:-0.342279, Z:1.407058
Joint12 X:-0.070350, Y:-0.458769, Z:1.400855
Joint13 X:-0.037713, Y:-0.886750, Z:1.366738
Joint14 X:-0.004024, Y:-1.363224, Z:1.364865
Joint15 X:-0.006432, Y:-1.388383, Z:1.228074
Joint16 X:0.094813, Y:-0.452635, Z:1.388138
Joint17 X:0.105580, Y:-0.881190, Z:1.361203
Joint18 X:0.119696, Y:-1.358216, Z:1.367381
Joint19 X:0.112229, Y:-1.385123, Z:1.231436
Joint20 X:0.007807, Y:0.113148, Z:1.480762
Joint21 X:-0.197455, Y:-0.469431, Z:1.467867
Joint22 X:-0.262523, Y:-0.357463, Z:1.554218
Joint23 X:0.197032, Y:-0.427403, Z:1.367393
Joint24 X:0.175664, Y:-0.311036, Z:1.357328
Joint0 X:0.012388, Y:-0.467845, Z:1.431373
Joint1 X:0.009672, Y:-0.130533, Z:1.466131
Joint2 X:0.006849, Y:0.192248, Z:1.481813
Joint3 X:-0.000694, Y:0.317821, Z:1.510501
Joint4 X:-0.173371, Y:0.028963, Z:1.478098
Joint5 X:-0.310201, Y:-0.148886, Z:1.501981
Joint6 X:-0.241147, Y:-0.344814, Z:1.511639
Joint7 X:-0.180748, Y:-0.381462, Z:1.484354
Joint8 X:0.185669, Y:0.038107, Z:1.456285
Joint9 X:0.352901, Y:-0.145904, Z:1.518215
Joint10 X:0.253418, Y:-0.326130, Z:1.466307
Joint11 X:0.203210, Y:-0.347053, Z:1.403832
Joint12 X:-0.070493, Y:-0.458913, Z:1.401112
Joint13 X:-0.037617, Y:-0.886890, Z:1.366630
Joint14 X:-0.003762, Y:-1.362063, Z:1.364334
Joint15 X:-0.006291, Y:-1.387158, Z:1.227504
Joint16 X:0.094678, Y:-0.452793, Z:1.388188
Joint17 X:0.103302, Y:-0.881391, Z:1.361517
Joint18 X:0.115053, Y:-1.357171, Z:1.367943
Joint19 X:0.107169, Y:-1.384136, Z:1.232025
Joint20 X:0.007555, Y:0.113549, Z:1.480641
Joint21 X:-0.199723, Y:-0.468827, Z:1.467748
Joint22 X:-0.261722, Y:-0.357082, Z:1.552891
Joint23 X:0.193174, Y:-0.428629, Z:1.362278
Joint24 X:0.175296, Y:-0.311491, Z:1.357121
Joint0 X:0.012301, Y:-0.467939, Z:1.431413
Joint1 X:0.009621, Y:-0.130730, Z:1.466211
Joint2 X:0.006911, Y:0.191839, Z:1.481995
Joint3 X:-0.000780, Y:0.317764, Z:1.510607
Joint4 X:-0.173829, Y:0.029173, Z:1.477149
