Joint12 X:-0.052524, Y:-0.390688, Z:1.365664
Joint13 X:-0.023887, Y:-0.696322, Z:1.348585
Joint14 X:0.011375, Y:-1.097251, Z:1.362049
Joint15 X:0.017713, Y:-1.127134, Z:1.244474
Joint16 X:0.070902, Y:-0.389250, Z:1.364704
Joint17 X:0.033968, Y:-0.693794, Z:1.352096
Joint18 X:-0.011424, Y:-1.093312, Z:1.371342
Joint19 X:-0.018003, Y:-1.124572, Z:1.254361
Joint20 X:0.010027, Y:0.085409, Z:1.434450
Joint21 X:-0.571810, Y:0.356522, Z:1.282744
Joint22 X:-0.504497, Y:0.352222, Z:1.323046
Joint23 X:0.543134, Y:0.407714, Z:1.292420
Joint24 X:0.484398, Y:0.397274, Z:1.337063
Joint0 X:0.009218, Y:-0.380395, Z:1.391896
Joint1 X:0.010147, Y:-0.109291, Z:1.419709
Joint2 X:0.010420, Y:0.154170, Z:1.433399
Joint3 X:0.010017, Y:0.280411, Z:1.430529
Joint4 X:-0.162339, Y:0.075347, Z:1.395792
Joint5 X:-0.269722, Y:0.274259, Z:1.315483
Joint6 X:-0.339984, Y:0.465014, Z:1.259648
Joint7 X:-0.351156, Y:0.487930, Z:1.253741
Joint8 X:0.171225, Y:0.077931, Z:1.393970
Joint9 X:0.264800, Y:0.270512, Z:1.310847
Joint10 X:0.327101, Y:0.466378, Z:1.266413
Joint11 X:0.339842, Y:0.490966, Z:1.264119
Joint12 X:-0.054832, Y:-0.370966, Z:1.363745
Joint13 X:-0.007078, Y:-0.675613, Z:1.335910
Joint14 X:-0.007590, Y:-0.968346, Z:1.373531
Joint15 X:-0.021628, Y:-0.831493, Z:1.333624
Joint16 X:0.072914, Y:-0.372624, Z:1.358522
Joint17 X:0.043684, Y:-0.677910, Z:1.350671
Joint18 X:0.008230, Y:-1.077870, Z:1.376185
Joint19 X:0.001286, Y:-1.110884, Z:1.259960
Joint20 X:0.010496, Y:0.089202, Z:1.432202
Joint21 X:-0.376300, Y:0.528838, Z:1.235657
Joint22 X:-0.335574, Y:0.499412, Z:1.286400
Joint23 X:0.366330, Y:0.533705, Z:1.236631
Joint24 X:0.318679, Y:0.500408, Z:1.305000
