Joint6 X:-0.365883, Y:-0.136526, Z:1.489365
Joint7 X:-0.363419, Y:-0.215969, Z:1.482452
Joint8 X:0.151561, Y:0.236166, Z:1.434700
Joint9 X:0.310063, Y:0.053236, Z:1.483978
Joint10 X:0.443670, Y:-0.111523, Z:1.415840
Joint11 X:0.473893, Y:-0.182562, Z:1.394718
Joint12 X:-0.073006, Y:-0.257777, Z:1.365934
Joint13 X:-0.073101, Y:-0.575531, Z:1.336026
Joint14 X:-0.049311, Y:-0.945500, Z:1.350945
Joint15 X:-0.051507, Y:-0.974093, Z:1.233605
Joint16 X:0.065072, Y:-0.254300, Z:1.357889
Joint17 X:0.084141, Y:-0.577970, Z:1.341782
Joint18 X:0.094435, Y:-0.941896, Z:1.346458
Joint19 X:0.087394, Y:-0.968199, Z:1.228045
Joint20 X:-0.014676, Y:0.271135, Z:1.425077
Joint21 X:-0.345343, Y:-0.278369, Z:1.490063
Joint22 X:-0.326291, Y:-0.213909, Z:1.521833
Joint23 X:0.494713, Y:-0.240563, Z:1.381747
Joint24 X:0.467654, Y:-0.211109, Z:1.419200
Joint0 X:-0.003867, Y:-0.262161, Z:1.395641
Joint1 X:-0.010279, Y:0.048014, Z:1.418973
Joint2 X:-0.016628, Y:0.343693, Z:1.425112
Joint3 X:-0.036926, Y:0.496396, Z:1.394866
Joint4 X:-0.196439, Y:0.233158, Z:1.457471
Joint5 X:-0.371169, Y:0.087117, Z:1.471388
Joint6 X:-0.472975, Y:-0.049596, Z:1.395327
Joint7 X:-0.490878, Y:-0.122431, Z:1.359717
Joint8 X:0.151234, Y:0.236425, Z:1.433887
Joint9 X:0.359771, Y:0.127654, Z:1.416848
Joint10 X:0.498987, Y:0.057458, Z:1.312481
Joint11 X:0.577606, Y:-0.010585, Z:1.239872
Joint12 X:-0.072859, Y:-0.257576, Z:1.366101
Joint13 X:-0.072601, Y:-0.574960, Z:1.336174
Joint14 X:-0.050264, Y:-0.945581, Z:1.350744
Joint15 X:-0.052490, Y:-0.974063, Z:1.233351
Joint16 X:0.065212, Y:-0.254151, Z:1.358122
Joint17 X:0.084427, Y:-0.576879, Z:1.342105
Joint18 X:0.095907, Y:-0.941930, Z:1.345397
Joint19 X:0.089204, Y:-0.967899, Z:1.226812
Joint20 X:-0.015075, Y:0.271696, Z:1.425699
Joint21 X:-0.494541, Y:-0.179590, Z:1.348055
Joint22 X:-0.506301, Y:-0.112045, Z:1.360286
Joint23 X:0.609414, Y:-0.060292, Z:1.205937
Joint24 X:0.595824, Y:-0.055896, Z:1.244524
